s_games,s_games_started,s_minutes_average,minutes_display,s_points_average,s_two_pointers_made_average,s_two_pointers_attempted_average,s_two_pointers_percentage,s_three_pointers_made_average,s_three_pointers_attempted_average,s_three_pointers_percentage,s_free_throws_made_average,s_free_throws_attempted_average,s_free_throws_percentage,s_rebounds_offensive_average,s_rebounds_defensive_average,s_rebounds_total_average,s_assists_average,s_blocks_average,s_blocks_received,s_steals_average,s_turnovers_average,s_fouls_total_average,s_fouls_on_average,s_plus_minus_points,s_efficiency_average,person.person_id,person.external_id,person.first_name,person.family_name,person.photo.sm,person.photo.md,person.photo.lg,person.photo.or,team.external_id,team.team_name,team.logo_black.sm,team.logo_black.md,team.logo_black.lg,team.logo_black.or,team.logo_white.sm,team.logo_white.md,team.logo_white.lg,team.logo_white.or
29,0,22.92,22' 55'',18.17,2.62,5.28,49.67,2.97,7.59,39.09,4.03,4.62,87.31,0.62,2.07,2.69,2.59,0.14,0.45,0.79,1.69,2.45,4.1,4.79,14.83,45ef6ab6-f5c1-11eb-b22b-52d2151fde64,3586,Nadir,Hifi,https://assets.altrstat.xyz/images/Basketball/Person/3586/photo/sm.png,https://assets.altrstat.xyz/images/Basketball/Person/3586/photo/md.png,https://assets.altrstat.xyz/images/Basketball/Person/3586/photo/lg.png,https://assets.altrstat.xyz/images/Basketball/Person/3586/photo/or.png,1716,Paris,https://assets.altrstat.xyz/images/Basketball/Team/1716/logoBlack/sm.png,https://assets.altrstat.xyz/images/Basketball/Team/1716/logoBlack/md.png,https://assets.altrstat.xyz/images/Basketball/Team/1716/logoBlack/lg.png,https://assets.altrstat.xyz/images/Basketball/Team/1716/logoBlack/or.png,https://assets.altrstat.xyz/images/Basketball/Team/1716/logoWhite/sm.png,https://assets.altrstat.xyz/images/Basketball/Team/1716/logoWhite/md.png,https://assets.altrstat.xyz/images/Basketball/Team/1716/logoWhite/lg.png,https://assets.altrstat.xyz/images/Basketball/Team/1716/logoWhite/or.png
19,19,26.0,26' 00'',17.11,2.26,5.26,43.0,2.11,4.74,44.44,6.26,8.0,78.29,0.42,1.79,2.21,3.53,0.0,0.21,0.84,2.26,2.16,7.26,4.58,14.05,7717941a-5e04-11ef-8878-2faf334690c7,10008,Xavier,Castaneda,https://assets.altrstat.xyz/images/Basketball/Person/10008/photo/sm.png,https://assets.altrstat.xyz/images/Basketball/Person/10008/photo/md.png,https://assets.altrstat.xyz/images/Basketball/Person/10008/photo/lg.png,https://assets.altrstat.xyz/images/Basketball/Person/10008/photo/or.png,1704,Bourg-en-Bresse,https://assets.altrstat.xyz/images/Basketball/Team/1704/logoBlack/sm.png,https://assets.altrstat.xyz/images/Basketball/Team/1704/logoBlack/md.png,https://assets.altrstat.xyz/images/Basketball/Team/1704/logoBlack/lg.png,https://assets.altrstat.xyz/images/Basketball/Team/1704/logoBlack/or.png,https://assets.altrstat.xyz/images/Basketball/Team/1704/logoWhite/sm.png,https://assets.altrstat.xyz/images/Basketball/Team/1704/logoWhite/md.png,https://assets.altrstat.xyz/images/Basketball/Team/1704/logoWhite/lg.png,https://assets.altrstat.xyz/images/Basketball/Team/1704/logoWhite/or.png
25,25,23.67,23' 40'',16.88,4.92,8.32,59.13,1.04,2.64,39.39,3.92,4.72,83.05,0.24,1.76,2.0,7.92,0.12,0.28,1.0,1.76,1.92,3.96,12.04,20.36,f3809ac4-509f-11ee-89b0-ed0e5054f703,9639,T.J.,Shorts,https://assets.altrstat.xyz/images/Basketball/Person/9639/photo/sm.png,https://assets.altrstat.xyz/images/Basketball/Person/9639/photo/md.png,https://assets.altrstat.xyz/images/Basketball/Person/9639/photo/lg.png,https://assets.altrstat.xyz/images/Basketball/Person/9639/photo/or.png,1716,Paris,https://assets.altrstat.xyz/images/Basketball/Team/1716/logoBlack/sm.png,https://assets.altrstat.xyz/images/Basketball/Team/1716/logoBlack/md.png,https://assets.altrstat.xyz/images/Basketball/Team/1716/logoBlack/lg.png,https://assets.altrstat.xyz/images/Basketball/Team/1716/logoBlack/or.png,https://assets.altrstat.xyz/images/Basketball/Team/1716/logoWhite/sm.png,https://assets.altrstat.xyz/images/Basketball/Team/1716/logoWhite/md.png,https://assets.altrstat.xyz/images/Basketball/Team/1716/logoWhite/lg.png,https://assets.altrstat.xyz/images/Basketball/Team/1716/logoWhite/or.png
30,30,31.34,31' 20'',16.27,3.9,7.63,51.09,1.8,4.8,37.5,3.07,3.57,85.98,0.53,3.43,3.97,4.03,0.07,0.37,1.0,2.2,2.97,4.63,0.27,15.9,c9ea9c12-6523-11ef-a4f2-1315f357bddd,10043,Glynn,Watson Jr,https://assets.altrstat.xyz/images/Basketball/Person/10043/photo/sm.png,https://assets.altrstat.xyz/images/Basketball/Person/10043/photo/md.png,https://assets.altrstat.xyz/images/Basketball/Person/10043/photo/lg.png,https://assets.altrstat.xyz/images/Basketball/Person/10043/photo/or.png,1708,Gravelines-Dunkerque,https://assets.altrstat.xyz/images/Basketball/Team/1708/logoBlack/sm.png,https://assets.altrstat.xyz/images/Basketball/Team/1708/logoBlack/md.png,https://assets.altrstat.xyz/images/Basketball/Team/1708/logoBlack/lg.png,https://assets.altrstat.xyz/images/Basketball/Team/1708/logoBlack/or.png,https://assets.altrstat.xyz/images/Basketball/Team/1708/logoWhite/sm.png,https://assets.altrstat.xyz/images/Basketball/Team/1708/logoWhite/md.png,https://assets.altrstat.xyz/images/Basketball/Team/1708/logoWhite/lg.png,https://assets.altrstat.xyz/images/Basketball/Team/1708/logoWhite/or.png
29,26,25.25,25' 15'',16.24,2.62,5.07,51.7,1.93,4.34,44.44,5.21,6.1,85.31,0.31,3.69,4.0,4.55,0.17,0.41,0.59,2.14,2.41,5.24,4.17,17.66,606b2394-f5c1-11eb-a219-9a556ec2037c,4878,Théo,Maledon,https://assets.altrstat.xyz/images/Basketball/Person/4878/photo/sm.png,https://assets.altrstat.xyz/images/Basketball/Person/4878/photo/md.png,https://assets.altrstat.xyz/images/Basketball/Person/4878/photo/lg.png,https://assets.altrstat.xyz/images/Basketball/Person/4878/photo/or.png,1712,Lyon-Villeurbanne,https://assets.altrstat.xyz/images/Basketball/Team/1712/logoBlack/sm.png,https://assets.altrstat.xyz/images/Basketball/Team/1712/logoBlack/md.png,https://assets.altrstat.xyz/images/Basketball/Team/1712/logoBlack/lg.png,https://assets.altrstat.xyz/images/Basketball/Team/1712/logoBlack/or.png,https://assets.altrstat.xyz/images/Basketball/Team/1712/logoWhite/sm.png,https://assets.altrstat.xyz/images/Basketball/Team/1712/logoWhite/md.png,https://assets.altrstat.xyz/images/Basketball/Team/1712/logoWhite/lg.png,https://assets.altrstat.xyz/images/Basketball/Team/1712/logoWhite/or.png
27,23,25.25,25' 15'',16.04,1.7,3.26,52.27,3.33,7.67,43.48,2.63,2.7,97.26,0.26,1.56,1.81,2.85,0.04,0.22,0.56,1.04,2.15,3.33,4.11,14.3,ad40e09f-7f9b-11ee-aab4-3bd7c70316ce,9931,Trevor,Hudgins,https://assets.altrstat.xyz/images/Basketball/Person/9931/photo/sm.png,https://assets.altrstat.xyz/images/Basketball/Person/9931/photo/md.png,https://assets.altrstat.xyz/images/Basketball/Person/9931/photo/lg.png,https://assets.altrstat.xyz/images/Basketball/Person/9931/photo/or.png,1709,Le Mans,https://assets.altrstat.xyz/images/Basketball/Team/1709/logoBlack/sm.png,https://assets.altrstat.xyz/images/Basketball/Team/1709/logoBlack/md.png,https://assets.altrstat.xyz/images/Basketball/Team/1709/logoBlack/lg.png,https://assets.altrstat.xyz/images/Basketball/Team/1709/logoBlack/or.png,https://assets.altrstat.xyz/images/Basketball/Team/1709/logoWhite/sm.png,https://assets.altrstat.xyz/images/Basketball/Team/1709/logoWhite/md.png,https://assets.altrstat.xyz/images/Basketball/Team/1709/logoWhite/lg.png,https://assets.altrstat.xyz/images/Basketball/Team/1709/logoWhite/or.png
30,30,31.8,31' 48'',16.0,2.4,4.9,48.98,2.7,6.2,43.55,3.1,3.53,87.74,0.27,2.23,2.5,3.53,0.03,0.23,0.37,1.3,2.23,3.63,-4.37,14.7,55da3122-f5c1-11eb-88d6-0e83e3b51c2e,4367,Nicolas,Lang,https://assets.altrstat.xyz/images/Basketball/Person/4367/photo/sm.png,https://assets.altrstat.xyz/images/Basketball/Person/4367/photo/md.png,https://assets.altrstat.xyz/images/Basketball/Person/4367/photo/lg.png,https://assets.altrstat.xyz/images/Basketball/Person/4367/photo/or.png,1711,Limoges,https://assets.altrstat.xyz/images/Basketball/Team/1711/logoBlack/sm.png,https://assets.altrstat.xyz/images/Basketball/Team/1711/logoBlack/md.png,https://assets.altrstat.xyz/images/Basketball/Team/1711/logoBlack/lg.png,https://assets.altrstat.xyz/images/Basketball/Team/1711/logoBlack/or.png,https://assets.altrstat.xyz/images/Basketball/Team/1711/logoWhite/sm.png,https://assets.altrstat.xyz/images/Basketball/Team/1711/logoWhite/md.png,https://assets.altrstat.xyz/images/Basketball/Team/1711/logoWhite/lg.png,https://assets.altrstat.xyz/images/Basketball/Team/1711/logoWhite/or.png
30,29,28.18,28' 11'',15.23,5.8,8.7,66.67,0.2,0.4,50.0,3.03,3.87,78.45,2.8,4.5,7.3,0.83,0.8,0.4,0.67,2.07,2.73,3.47,0.7,18.83,ab63da38-1edb-11ed-aabc-61227a43131d,8933,Shevon,Thompson,https://assets.altrstat.xyz/images/Basketball/Person/8933/photo/sm.png,https://assets.altrstat.xyz/images/Basketball/Person/8933/photo/md.png,https://assets.altrstat.xyz/images/Basketball/Person/8933/photo/lg.png,https://assets.altrstat.xyz/images/Basketball/Person/8933/photo/or.png,1714,Nancy,https://assets.altrstat.xyz/images/Basketball/Team/1714/logoBlack/sm.png,https://assets.altrstat.xyz/images/Basketball/Team/1714/logoBlack/md.png,https://assets.altrstat.xyz/images/Basketball/Team/1714/logoBlack/lg.png,https://assets.altrstat.xyz/images/Basketball/Team/1714/logoBlack/or.png,https://assets.altrstat.xyz/images/Basketball/Team/1714/logoWhite/sm.png,https://assets.altrstat.xyz/images/Basketball/Team/1714/logoWhite/md.png,https://assets.altrstat.xyz/images/Basketball/Team/1714/logoWhite/lg.png,https://assets.altrstat.xyz/images/Basketball/Team/1714/logoWhite/or.png
30,30,28.75,28' 45'',15.17,3.33,6.03,55.25,1.97,5.57,35.33,2.6,3.1,83.87,1.03,2.57,3.6,5.93,0.1,0.47,1.37,2.2,2.47,3.6,2.27,17.17,3047b766-a146-11ec-bdc8-3f9c31432098,8831,Jeremiah,Hill,https://assets.altrstat.xyz/images/Basketball/Person/8831/photo/sm.png,https://assets.altrstat.xyz/images/Basketball/Person/8831/photo/md.png,https://assets.altrstat.xyz/images/Basketball/Person/8831/photo/lg.png,https://assets.altrstat.xyz/images/Basketball/Person/8831/photo/or.png,1705,Chalon/Saône,https://assets.altrstat.xyz/images/Basketball/Team/1705/logoBlack/sm.png,https://assets.altrstat.xyz/images/Basketball/Team/1705/logoBlack/md.png,https://assets.altrstat.xyz/images/Basketball/Team/1705/logoBlack/lg.png,https://assets.altrstat.xyz/images/Basketball/Team/1705/logoBlack/or.png,https://assets.altrstat.xyz/images/Basketball/Team/1705/logoWhite/sm.png,https://assets.altrstat.xyz/images/Basketball/Team/1705/logoWhite/md.png,https://assets.altrstat.xyz/images/Basketball/Team/1705/logoWhite/lg.png,https://assets.altrstat.xyz/images/Basketball/Team/1705/logoWhite/or.png
30,23,25.4,25' 24'',15.13,2.43,5.0,48.67,2.23,5.9,37.85,3.57,4.17,85.6,0.57,2.57,3.13,2.27,0.27,0.17,0.87,2.47,2.97,3.27,-2.0,12.37,850bd270-693a-11ef-8e76-555bf8376e2d,10069,Jerome,Robinson,https://assets.altrstat.xyz/images/Basketball/Person/10069/photo/sm.png,https://assets.altrstat.xyz/images/Basketball/Person/10069/photo/md.png,https://assets.altrstat.xyz/images/Basketball/Person/10069/photo/lg.png,https://assets.altrstat.xyz/images/Basketball/Person/10069/photo/or.png,1717,Saint-Quentin,https://assets.altrstat.xyz/images/Basketball/Team/1717/logoBlack/sm.png,https://assets.altrstat.xyz/images/Basketball/Team/1717/logoBlack/md.png,https://assets.altrstat.xyz/images/Basketball/Team/1717/logoBlack/lg.png,https://assets.altrstat.xyz/images/Basketball/Team/1717/logoBlack/or.png,https://assets.altrstat.xyz/images/Basketball/Team/1717/logoWhite/sm.png,https://assets.altrstat.xyz/images/Basketball/Team/1717/logoWhite/md.png,https://assets.altrstat.xyz/images/Basketball/Team/1717/logoWhite/lg.png,https://assets.altrstat.xyz/images/Basketball/Team/1717/logoWhite/or.png
