firstName,lastName,teamName,source,GP,MIN_avg,PTS_avg,REB_avg,AST_avg,STL_avg,BLK_avg,TO_avg,FG2_pct,FG3_pct,FT_pct,EVAL_avg
Nadir,Hifi,Paris,LNB,29.0,22.92,18.17,2.69,2.59,0.79,0.14,1.69,0.49670000000000003,0.3909,0.8731,14.83
Xavier,Castaneda,Bourg-en-Bresse,LNB,19.0,26.0,17.11,2.21,3.53,0.84,0.0,2.26,0.43,0.44439999999999996,0.7829,14.05
T.J.,Shorts,Paris,LNB,25.0,23.67,16.88,2.0,7.92,1.0,0.12,1.76,0.5913,0.39390000000000003,0.8305,20.36
Glynn,Watson Jr,Gravelines-Dunkerque,LNB,30.0,31.34,16.27,3.97,4.03,1.0,0.07,2.2,0.5109,0.375,0.8598,15.9
Théo,Maledon,Lyon-Villeurbanne,LNB,29.0,25.25,16.24,4.0,4.55,0.59,0.17,2.14,0.517,0.44439999999999996,0.8531,17.66
Trevor,Hudgins,Le Mans,LNB,27.0,25.25,16.04,1.81,2.85,0.56,0.04,1.04,0.5227,0.43479999999999996,0.9726,14.3
Nicolas,Lang,Limoges,LNB,30.0,31.8,16.0,2.5,3.53,0.37,0.03,1.3,0.48979999999999996,0.4355,0.8774,14.7
Shevon,Thompson,Nancy,LNB,30.0,28.18,15.23,7.3,0.83,0.67,0.8,2.07,0.6667000000000001,0.5,0.7845,18.83
Jeremiah,Hill,Chalon/Saône,LNB,30.0,28.75,15.17,3.6,5.93,1.37,0.1,2.2,0.5525,0.3533,0.8387,17.17
Jerome,Robinson,Saint-Quentin,LNB,30.0,25.4,15.13,3.13,2.27,0.87,0.27,2.47,0.4867,0.3785,0.856,12.37
Chris,Clemons,Nancy,LNB,27.0,28.79,14.89,2.59,3.89,1.26,0.04,2.52,0.4046,0.36,0.8602,12.04
Jordan,Usher,Bourg-en-Bresse,LNB,30.0,25.34,14.8,2.9,2.13,0.97,0.2,1.3,0.6243,0.38789999999999997,0.7623000000000001,14.2
Chris,Babb,Gravelines-Dunkerque,LNB,26.0,29.33,14.77,2.46,3.08,0.42,0.0,1.12,0.4375,0.3883,0.879,13.23
Gregor,Hrovat,Dijon,LNB,23.0,26.91,14.48,3.13,3.57,1.3,0.13,2.04,0.6203,0.39289999999999997,0.8956999999999999,15.78
Mike,James,Monaco,LNB,18.0,23.33,14.0,2.17,4.22,1.06,0.11,1.44,0.3871,0.40630000000000005,0.875,13.28
